Date,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
01/01/2004,3.9,0,268,0
02/01/2004,3.9,0,268,0
03/01/2004,3.9,0,267,0
04/01/2004,3.9,0,267,0
05/01/2004,3.8,0,267,0
06/01/2004,3.8,0,266,0
07/01/2004,3.8,0,266,0
08/01/2004,3.7,0,265,0
09/01/2004,3.7,0,264,0
10/01/2004,3.7,0,264,0
11/01/2004,3.6,0,263,0
12/01/2004,3.6,0,262,0
13/01/2004,3.6,0,261,0
14/01/2004,3.5,0,260,0
15/01/2004,3.5,0,259,0
16/01/2004,3.4,0,258,0
17/01/2004,3.4,0,256,0
18/01/2004,3.4,0,254,0
19/01/2004,3.4,0,252,0
20/01/2004,3.4,0,250,0
21/01/2004,3.3,0,247,0
22/01/2004,3.3,0,244,0
23/01/2004,3.3,0,242,0
24/01/2004,3.3,0,239,0
25/01/2004,3.2,0,237,0
26/01/2004,3.2,0,234,0
27/01/2004,3.9,0,232,0
28/01/2004,4.9,0,230,0
29/01/2004,4.9,0,227,0
30/01/2004,4.9,0,225,0
31/01/2004,4.8,0,223,0
01/02/2004,4.8,0,220,0
02/02/2004,4.8,0,218,0
03/02/2004,4.7,0,216,0
04/02/2004,4.7,0,213,0
05/02/2004,4.7,0,211,0
06/02/2004,4.6,0,209,0
07/02/2004,4.6,0,206,0
08/02/2004,4.6,0,204,0
09/02/2004,4.5,0,202,0
10/02/2004,4.5,0,200,0
11/02/2004,4.5,0,197,0
12/02/2004,4.4,0,195,0
13/02/2004,4.4,0,193,0
14/02/2004,4.4,0,191,0
15/02/2004,4.3,0,189,0
16/02/2004,4.3,0,186,0
17/02/2004,4.2,0,184,0
18/02/2004,4.3,0,182,0
19/02/2004,4.5,0,179,0
20/02/2004,4.8,0,177,0
21/02/2004,4.8,0,175,0
22/02/2004,4.8,0,172,0
23/02/2004,4.7,0,170,0
24/02/2004,4.7,0,168,0
25/02/2004,4.7,0,165,0
26/02/2004,4.6,0,163,0
27/02/2004,4.6,0,161,0
